url,name,role,image,ind,true_count,almost_true_count,misleading_count,no_data_count,false_count,outrageous_count
/profiles/khodadadi.html,سلمان خدادادی,نماینده ملکان در مجلس,https://factnameh.com/wp-content/uploads/2018/07/Factnameh-salman-khodadadi-225x225.png?t=1537801954,127,1,0,0,0,0,0
/profiles/saeed-namaki.html,سعید نمکی,وزیر بهداشت,https://factnameh.com/wp-content/uploads/2020/10/Factnameh-saeid-namaki-225x225.jpg?t=1603828102,128,0,0,0,1,2,2
/profiles/montazerolmahdi.html,سعید منتظرالمهدی,سخنگوی نیروی انتظامی,https://factnameh.com/wp-content/uploads/2017/09/Montazerolmahdi1-225x225.jpg?t=1537801603,129,0,0,1,0,0,0
/profiles/saeed-jalili.html,سعید جلیلی,عضو مجمع تشخیص مصلحت نظام,https://factnameh.com/wp-content/uploads/2020/12/Factnameh-Saeid-Jalili-225x225.jpg?t=1607551728,130,0,2,0,0,6,0
/profiles/sajad-bonabi.html,سجاد بنابی,معاون وزیر ارتباطات,https://factnameh.com/wp-content/uploads/2021/02/Factnameh-Sajad-Bonabi-225x225.png?t=1613573162,131,0,0,1,0,0,0
/profiles/hemati-campaign.html,ستاد عبدالناصر همتی,ستاد انتخاباتی عبدالناصر همتی در انتخابات ۱۴۰۰,https://factnameh.com/wp-content/uploads/2021/06/Hemati-Setad-1-225x225.jpg?t=1623755831,132,0,0,0,0,1,0
/profiles/elahian.html,زهره الهیان,نماینده تهران مجلس,https://factnameh.com/wp-content/uploads/2019/07/Factnameh-zohre-allahian-225x225.png?t=1564595666,133,0,0,0,0,1,1
/profiles/abedi.html,زهرا عابدی,رییس جمعیت مامایی کشور,https://factnameh.com/wp-content/uploads/2019/05/Factnameh-zahra-abedi-225x225.png?t=1557862296,134,0,0,0,0,1,0
/profiles/zahra-sheykhi.html,زهرا شیخی,سخنگوی کمیسیون بهداشت مجلس,https://factnameh.com/wp-content/uploads/2021/01/Factnameh-zahra-sheykhi-225x225.jpg?t=1611023322,135,0,0,0,0,0,1
/profiles/saei.html,زهرا ساعی,نماینده مجلس,https://factnameh.com/wp-content/uploads/2020/02/Factnameh-zahra-saei-225x225.jpg?t=1582239007,136,0,0,0,0,0,1
/profiles/ahmadipour.html,زهرا احمدی‌پور,رییس سابق سازمان میراث فرهنگی,https://factnameh.com/wp-content/uploads/2017/06/Factnameh-Zahra-Ahmadipour-225x225.jpg?t=1537801772,137,0,0,1,0,0,0
/profiles/rezamalekzadeh.html,رضا ملک‌زاده,معاون تحقیقات و فناوری وزارت بهداشت، درمان و آموزش پزشکی,https://factnameh.com/wp-content/uploads/2019/09/Factnameh-reza-malakzadeh-225x225.png?t=1567797726,138,0,0,0,0,1,0
/profiles/amirkhani.html,رضا امیرخانی,نویسنده و منتقد ادبی,https://factnameh.com/wp-content/uploads/2018/11/Factnameh-reza-amirkhani-225x225.png?t=1541631036,139,0,0,0,0,1,0
/profiles/ardakanian.html,رضا اردکانیان,وزیر نیرو,https://factnameh.com/wp-content/uploads/2019/06/Factnameh-reza-ardekanian-225x225.png?t=1560361921,140,1,0,0,0,3,0
/profiles/rasoul-saraeian.html,رسول سراییان,معاون وزیر ارتباطات و رییس سازمان فناوری اطلاعات,https://factnameh.com/wp-content/uploads/2018/09/Factnameh-rasoul-saraeian-225x225.png?t=1537802036,141,0,1,0,0,0,0
/profiles/khezri.html,رسول خضری,نماینده سردشت و پیرانشهر در مجلس,https://factnameh.com/wp-content/uploads/2017/08/khezri-225x225.jpg?t=1537801654,142,0,0,0,0,1,0
/profiles/rasoul-jalili.html,رسول جلیلی,عضو شورای عالی فضای مجازی,https://factnameh.com/wp-content/uploads/2021/01/Factnameh-rasoul-jalili-225x225.jpg?t=1611340940,143,0,0,0,0,1,0
